"Name", "Phone", "Industry", "Working Hours", "Employee Size", "Benefits", "Language", "Email", "Description"
"A Clean Service","+62 81289898937","Repair & Maintenance Services","Regular hours, Mondays - Fridays","1 - 50","Parking","Bahasa Indonesia","","CV AClean Service\nAcleanAdalah Badan Usaha Yang Bergerak Dibidang Jasa Service AC. Dan Kami Melihat Perkembangan Properti Di Daerah Serpong-Tangerang Yang Sangat Maju, Maka Kami Aclean Hadir Sebagai Pionir Solusi Jasa Cuci Dan Service AC.\nAclean Berdiri Sejak Tahun 2015. Tujuan Kami Adalah Memberikan Pelayanan Yang Terbaik Terhadap Seluruh Customer Dengan Menyediakan Tenaga Kerja Yang Profesional, Rapi, Bersih Dan Bertanggung Jawab\nAclean Melayani Anda Di Area Serpong-Tangerang Yang Meliputi : Alam Sutera, Gading Serpong, Melati Mas, Graha Raya Dan BSD.\nKepuasan Dan Kepercayaan Customer Adalah Prioritas Utama Bagi Kami. Dan Kami Hadir Sebagai Solusi Terbaik Untuk Jasa Cuci & Service AC Bagi Customer."
"A & S Professional Security System","(061) 6625946 , (061) 7360159","Repair & Maintenance Services","Saturdays/Shift required","1 - 50","Medical","Bahasa Indonesia","","A & S Security System adalah sebuah perusahaan yang bergerak di bidang distribusi alat keamanan (security system) dan berlokasi di Medan yaitu jalan Thamrin & Komplek Cemara Asri. Kami antara lain:\n1.HD CCTV / IP Cam\n2. Security Alarm\n3. Guard Patrol (Alat Patroli Keamanan)\n4. Metal Detector (Alat Deteksi Keamanan)\n5. Access Control (Sistem Pengontrol Pintu)\n6. Hotel Doorlock\n7. Absensi Fingerprint\n8. Automatic Gate (Pagar Otomatis)\n9. Barrier Gate (Sistem Parkir)\n10. GPS Tracking System\nPerusahaan kami telah berdiri sejak tahun 2005 dan telah memiliki pengalaman yang luas dalam menangani proyek besar di pemerintah ataupun swasta.\nSaat ini kami mencari kandidat yang pro aktif dengan semangat untuk maju bersama perusahaan kami."
"A&W Restaurants Indonesia","+62 21-6623456","Food & Beverage/Catering/Restaurant","Regular hours, Mondays - Fridays","More than 5000","Medical, Miscellaneous allowance","Indonesia & English","","PT. Biru Fast Food Nusantara is Indonesia’s leading Restaurant Company with over 200 stores, and still growing. Over 5000 employees help ensure our Restaurants operate effectively so our customers get the service and products they deserve. Our restaurant brand – A&W Restaurants – is one of the global leaders of QSR food category."
"A's Musik Internusa","021-6457903","Others","Senin s/d Sabtu","1 - 50","","Bahasa Indonesia, Bahasa Mandarin","","As Musik Internusa adalah perusahaan yang bergerak dalam bidang Distributor of Professional Sound System & Musical Instruments dan sudah berdiri sejak tahun 2006. Saat ini membutuhkan tenaga kerja yang Professional, Cerdas, Loyal dan ber-Attitude baik untuk menempati beberapa posisi tersebut."
"A-Trimedia Packaging","+62 274-8532771","Manufacturing / Production","Saturdays or Shift required","1 - 50","","Bahasa Indonesia","","A-Trimedia Packaging Bergerak Dibidang Manufacturing / Production Sedang Mengalami Perkembangan pesat. Kami sedang mencari profesional-profesional yang berpengalaman, berkualita, memiliki tanggung jawab tinggi, dan menyukai tantangan untuk bergabung pada A-Trimedia Packaging, dengan posisi sebagai berikut :"
"A.D-A","+62 22-2005782","Arts/Design/Fashion","","Not Specified","","","","Dengan berkembang pesatnya Teknologi Informasi dalam dunia bisnis, kami mengundang individu - individu yang berkualitas untuk dapat bergabung dan maju bersama perusahaan kami."
"AA Mart & Residence","+62 361 481542","Retail / Merchandise","","","","","","Perusahan yang bergerak di bidang minimarket yg bertempat di Jl Gunung Cemara VII No 316 Perumnas Monang Maning Denpasar Bali"
"a.i architects","+62 813 1111 0713","Architectural Services / Interior Designing","Regular hours, Mondays-Fridays","1 - 50","Vision","Bahasa Indonesia","","an architectural and design studio, based in Tangerang, Indonesia.  Historya.i architects was formed by two architects in the past 2 years with side by side job. But in 2013 they agree to open their own firm in Tangerang. Product & ServicesConceptual Design Involves outlining the project : list of features or requirements that the project will include, brainstorming sessions to generate additional ideas, rough paper and pencil or computer - generated sketch of what the result will look like, encompassing all project requirements and features, modify the rough sketch or outline satisfy a change in needs or preferences from clients. Schematic Design Involves gathering the information necessary to begin design, and avoid trouble along the way ; develop a program and budget, obtain site survey, obtain sceptic analysis and design, investigate zoning regulations and analyze site for possibilities and limitations, measure and draw the existing buildings for base drawings. Design Development Involves creating and building the project itself ; gathers supplies to complete the project, require on-site visits from a property owner to ensure satisfaction, evaluates the project and shows the result to clients. Tender & Periodic Inspection Involves managing the field observation and documentation task as well as evaluates compliance with construction documents and specifications."
"AB Architects","021-58908839","Architectural Services/Interior Designing","Regular hours, Mondays - Fridays","1 - 50","-","Bahasa Indonesia - English","","Ab architects berdiri di bulan november 2009. Karya-karya yang telah dihasilkan memiliki aneka ragam skala proyek dan fungsi bangunan mulai dari rumah tinggal, kantor, bangunan komersial, hotel, vila, mall dan lain sebagainya.\nKecintaan dalam berarsitektur membentuk sikap untuk tidak pernah berhenti dalam menyelidiki dan mencari ide-ide baru disetiap waktu. Berkolaborasi dengan alam dan lingkungan, mencoba menghasilkan karya-karya arsitektur yang mampu menjawab setiap kebutuhan dari klien. Dalam setiap perjalanan eksplorasi desain yang dilakukan, efisiensi energi dan kualitas kesehatan ruang adalah prinsip yang selalu dipegang. Solusi yang menghasilkan nilai-nilai estetika bentuk dan ruang tanpa menghilangkan kebutuhan dasar menjadi fokus dalam berkarya."
"AB Group","021-56961333","Others","Regular hours, Mondays - Fridays","51 - 200","Medical","Bahasa Indonesia","","PT AB Group adalah perusahaan Coorporate yang bergerak dalam beberapa bidang seperti; Property Development (Apartement & Residence), Hospitality (Hotel & Maintenance Services), F&B (Restaurant), Healthcare Services (Apotek & Klinik Berlisensi), Healthcare Securities, juga Internet Service Provider. Sebagai perusahaan yang terus maju & berkembang, kami menginginkan sumber daya manusia yang Berkualitas, Berpengalaman, Produktif, serta Profesional."
